"cell_id","UMAP_1","UMAP_2","label1","label2","label3"
"32115",-1.69621408664133,-2.26864320353048,"Neuron","TEPN","TEGLU Mix"
"32116",5.75954067028616,18.0390517084263,"Non_Neuron","OLG","OLG1"
"32117",-1.94983268462565,-1.33092552736776,"Non_Neuron","AC","AC3"
"32118",-11.4603113003865,10.7271344034336,"Non_Neuron","VAS","VLMC"
"32119",4.11991559780691,18.7949873773716,"Mix","Mix","Mix"
"32120",-11.2995094128742,10.4981457559727,"Non_Neuron","VAS","Peri/VEC"
"32121",-12.2180045910969,6.33643549367411,"Non_Neuron","VAS","Peri/VEC"
"32122",-1.55133915625956,0.903225716795749,"Non_Neuron","AC","AC3"
"32123",0.322911851774195,3.74774330541117,"Non_Neuron","AC","AC3"
"32124",-1.05054790460016,2.20187133237345,"Non_Neuron","AC","AC3"
"32125",-2.54249561511423,-0.840489718470746,"Mix","Mix","Mix"
"32126",-7.57453668795969,-3.9536080987789,"Neuron","CHO/PEP","CHO/PEP"
"32127",1.75358592785452,3.78190534993631,"Non_Neuron","AC","AC3"
"32128",-4.49183834277537,-1.88085967615622,"Non_Neuron","AC","AC3"
"32129",-13.5674117871418,9.65742748662455,"Mix","Mix","Mix"
"32130",-4.25241316043284,-4.82523948267477,"Neuron","TEPN","TEGLU Mix"
"32131",-1.54370272838022,0.436329659666842,"Non_Neuron","AC","AC3"
"32132",-1.56935096465494,-0.0739385218955813,"Non_Neuron","AC","AC3"
"32133",1.66903650082205,4.3919479219578,"Non_Neuron","AC","AC3"
"32134",-0.234781212438605,3.44908111974222,"Non_Neuron","AC","AC3"
"32135",-0.701418808926603,3.24406522199137,"Non_Neuron","AC","AC3"
"32136",0.713259094129541,3.77867477818949,"Non_Neuron","AC","AC3"
"32137",-0.977186865438482,1.28902369424326,"Non_Neuron","AC","AC3"
"32138",-1.2387987443104,-0.597382135096961,"Non_Neuron","AC","AC3"
"32139",-9.75655496798899,-10.9486363561489,"Neuron","TEPN","DGGRC"
"32140",-6.72452724658396,-4.74158746317404,"Neuron","CHO/PEP","CHO/PEP"
"32141",-8.71394384585764,-10.8816960485317,"Neuron","TEPN","DGGRC"
"32142",-0.848947561611197,1.33375483437998,"Neuron","TEPN","TEGLU L4"
"32143",-1.65004635535624,-0.260541471991712,"Neuron","TEPN","DGGRC"
"32144",-9.71986139499094,-10.7514422567226,"Neuron","TEPN","DGGRC"
"32145",-7.6175144978657,-10.2343152196743,"Neuron","TEPN","DGGRC"
"32146",-7.74278438769724,-9.97055846766012,"Neuron","TEPN","DGGRC"
"32147",-8.97376192294504,-10.4507029683925,"Neuron","TEPN","DGGRC"
"32148",-9.14837969027903,-10.9196274907924,"Neuron","TEPN","DGGRC"
"32149",-1.28619480811503,0.465707954611606,"Non_Neuron","AC","AC3"
"32150",-8.64352834903147,4.28346222325785,"Non_Neuron","VAS","VLMC"
"32151",-1.20020592891123,2.10385220929605,"Non_Neuron","AC","AC3"
"32152",-7.22486866198923,4.95401686116678,"Non_Neuron","VAS","Peri/VEC"
"32153",1.43961738861654,2.86278885289652,"Non_Neuron","AC","AC2"
"32154",-9.86129320346262,-10.7889159353115,"Neuron","TEPN","DGGRC"
"32155",-9.46598661624338,-10.5336697728969,"Neuron","TEPN","DGGRC"
"32156",-9.06275976382639,-10.5822518499233,"Neuron","TEPN","DGGRC"
"32157",-9.37220895968821,-11.2727835805752,"Neuron","TEPN","DGGRC"
"32158",-9.5602430173054,-10.8627398641445,"Neuron","TEPN","DGGRC"
"32159",-8.29759348117258,-10.3128359945156,"Neuron","TEPN","DGGRC"
"32160",-9.01493967257883,-10.8207448156215,"Neuron","TEPN","DGGRC"
"32161",-9.7625716992512,-10.768659892831,"Neuron","TEPN","DGGRC"
"32162",-9.4798339673176,-10.6321566732265,"Neuron","TEPN","DGGRC"
"32163",-9.14142358981516,-10.9682782323696,"Neuron","TEPN","DGGRC"
"32164",-4.00587666713144,-3.16019040659445,"Neuron","TEPN","TEGLU Mix"
"32165",-7.88969124041941,-9.84896880701559,"Neuron","TEPN","TEGLU Mix"
"32166",-6.21558225833323,-5.82503396585959,"Mix","Mix","Mix"
"32167",-9.50168264590647,-10.7263157995083,"Neuron","TEPN","DGGRC"
"32168",-7.47128475390818,-10.3928816945888,"Neuron","TEPN","TEGLU L6b"
"32169",-5.42506540500071,-8.20501786783712,"Neuron","TEPN","TEGLU L2/3"
"32170",-9.28659284793284,-10.417359653268,"Neuron","TEPN","DGGRC"
"32171",-7.40514839373972,-10.3060839803554,"Neuron","TEPN","DGGRC"
"32172",-9.43485868655588,-10.568163219247,"Neuron","TEPN","DGGRC"
"32173",-8.85895193301585,-10.7092869909145,"Neuron","TEPN","DGGRC"
"32174",-6.5443133183613,-3.65491348818319,"Neuron","CHO/PEP","CHO/PEP"
"32175",-7.79330003940012,-9.13918048456686,"Mix","Mix","Mix"
"32176",-6.98606670581248,-10.486737552438,"Neuron","TEPN","DGGRC"
"32177",-4.30691707812693,-6.53590566233175,"Neuron","TEPN","DGGRC"
"32178",-9.25698030673411,-10.9209416540005,"Neuron","TEPN","DGGRC"
"32179",-4.37323320590403,-7.35458022669333,"Neuron","TEPN","DGGRC"
"32180",-6.96784818850901,-10.2781937749721,"Neuron","TEPN","DGGRC"
"32181",-4.9399694272175,-4.45603663042563,"Neuron","TEPN","MSN"
"32182",-7.59162462436106,-10.6049998433925,"Neuron","TEPN","TEGLU Mix"
"32183",-8.18675554477122,-10.4658930929043,"Neuron","TEPN","DGGRC"
"32184",-4.23217285357859,-5.31611854151266,"Neuron","TEPN","TEGLU CA1"
"32185",-5.52500379763987,-4.93718415812033,"Neuron","TEPN","TEGLU Mix"
"32186",-4.3287063904896,-6.43127137735861,"Neuron","TEPN","DGGRC"
"32187",-8.44683588229563,4.58257597371561,"Non_Neuron","VAS","Peri/VEC"
"32188",-5.09881246768381,-4.7787030370571,"Neuron","TEPN","TEGLU Mix"
"32189",-6.8279579945698,-4.40151626184958,"Neuron","CHO/PEP","CHO/PEP"
"32190",-8.61605680667307,-9.8431971700527,"Neuron","TEPN","TEGLU Mix"
"32191",-0.300673074354193,3.57594984456522,"Non_Neuron","AC","AC3"
"32192",-1.24020404302027,1.33034997865183,"Non_Neuron","AC","AC3"
"32193",-1.04011512481119,1.21567314549906,"Non_Neuron","AC","AC3"
"32194",0.254888229738214,4.04995983525736,"Non_Neuron","AC","AC3"
"32195",-1.09748841010477,3.39540737554056,"Non_Neuron","AC","AC3"
"32196",1.10410868443106,4.97889345571024,"Non_Neuron","AC","AC2"
"32197",-0.0578922697200986,3.75765674993021,"Non_Neuron","AC","AC3"
"32198",-0.784339300622008,3.03226011678202,"Non_Neuron","AC","AC3"
"32199",-0.362208701004049,-2.19197708681601,"Non_Neuron","AC","AC3"
"32200",-9.61285246096995,-10.7044194372036,"Neuron","TEPN","DGGRC"
"32201",-9.61657751284983,-11.0062125356533,"Neuron","TEPN","DGGRC"
"32202",-9.8948901959553,-11.1402638585903,"Neuron","TEPN","DGGRC"
"32203",-9.52436578952219,-10.4263375432827,"Neuron","TEPN","DGGRC"
"32204",-0.732895202268622,0.788360532965487,"Non_Neuron","AC","AC3"
"32205",-9.87860143863108,-10.8980868490078,"Neuron","TEPN","DGGRC"
"32206",-9.26099909030344,-10.6820061834194,"Neuron","TEPN","DGGRC"
"32207",-9.54294908725169,-10.5549328954555,"Neuron","TEPN","DGGRC"
"32208",-8.8140796490803,-11.2297604711391,"Neuron","TEPN","DGGRC"
"32209",-9.8649019070759,-10.8062012822964,"Neuron","TEPN","DGGRC"
"32210",-9.22479952060129,-10.7068637044765,"Neuron","TEPN","DGGRC"
"32211",-8.30228841983225,-10.8272030980923,"Neuron","TEPN","DGGRC"
"32212",-9.49718797885325,-10.7990964086391,"Neuron","TEPN","DGGRC"
"32213",-9.06459081851389,-10.6166489751674,"Neuron","TEPN","DGGRC"
"32214",-9.15576303683665,-10.9408171804287,"Neuron","TEPN","DGGRC"
"32215",-9.27759493075754,-10.7004311712124,"Neuron","TEPN","DGGRC"
"32216",-9.44148195468333,-10.8191722066738,"Neuron","TEPN","DGGRC"
"32217",-4.51719296656992,-8.69598704889792,"Neuron","TEPN","DGGRC"
"32218",-7.94286144458201,-10.8079474599697,"Neuron","TEPN","DGGRC"
"32219",-7.715801603426,-10.3858693273403,"Neuron","TEPN","DGGRC"
"32220",-8.488093740572,-10.924180331979,"Neuron","TEPN","DGGRC"
"32221",-8.0566448041096,-11.3754628331997,"Neuron","TEPN","DGGRC"
"32222",-0.208616561521551,-10.5111478002407,"Neuron","TEPN","TEGLU L2/3"
"32223",-4.88829410754587,-5.452705684457,"Neuron","TEPN","DGGRC"
"32224",-9.11006296359446,-10.6411717565395,"Neuron","TEPN","DGGRC"
"32225",-8.74609316073801,-10.8725274236538,"Neuron","TEPN","DGGRC"
"32226",-8.96366728030588,-11.0892756612636,"Neuron","TEPN","DGGRC"
"32227",-9.30118597232249,-10.5064509542324,"Neuron","TEPN","DGGRC"
"32228",-9.55475271426585,-10.6261981160976,"Neuron","TEPN","DGGRC"
"32229",-9.13939798556711,-11.2348378331997,"Neuron","TEPN","DGGRC"
"32230",-9.19650781833079,-10.6570218236782,"Neuron","TEPN","DGGRC"
"32231",-4.77946603976633,-9.75135547235983,"Neuron","TEPN","DGGRC"
"32232",-9.22498548709299,-10.619845691476,"Neuron","TEPN","DGGRC"
"32233",-7.18277633868601,-9.97040683344381,"Neuron","TEPN","MSN"
"32234",-9.35413492404368,-10.5549166829922,"Neuron","TEPN","DGGRC"
"32235",-9.34607828341868,-10.2943080098965,"Neuron","TEPN","DGGRC"
"32236",-8.80129087649729,-10.6600125463344,"Neuron","TEPN","DGGRC"
"32237",-6.97465122424509,-12.658251109872,"Neuron","TEPN","TEGLU CA1"
"32238",-6.84922540866282,-10.3300870092251,"Neuron","TEPN","DGGRC"
"32239",-2.63345277987864,-6.04456550196188,"Neuron","TEPN","DGGRC"
"32240",-8.06063450061228,-10.4826691778042,"Neuron","TEPN","DGGRC"
"32241",-8.7271484204426,-10.8618148000576,"Neuron","TEPN","DGGRC"
"32242",-5.8493055173054,-9.96699744776266,"Neuron","TEPN","DGGRC"
"32243",-9.15645921908762,-10.623022380624,"Neuron","TEPN","DGGRC"
"32244",-1.88956332885172,-2.34037489012259,"Neuron","TEPN","DGGRC"
"32245",-9.01876676761057,-10.5581896932461,"Neuron","TEPN","DGGRC"
"32246",-6.18000782214548,-10.3524020345547,"Neuron","TEPN","TEGLU CA3"
"32247",-8.28549898349192,-10.4772723348476,"Neuron","TEPN","DGGRC"
"32248",-9.34250581942942,-10.6864398153164,"Neuron","TEPN","DGGRC"
"32249",-6.91197384082224,-10.0218213231899,"Neuron","TEPN","DGGRC"
"32250",-7.60118187152292,-10.258146587167,"Neuron","TEPN","DGGRC"
"32251",-8.56400144778635,-10.5434258611538,"Neuron","TEPN","DGGRC"
"32252",0.458320253263452,15.8876425592564,"Non_Neuron","OLG","OLG2"
"32253",-7.75168169223215,-10.5269597204067,"Neuron","TEPN","TEGLU CA1"
"32254",-6.21637714587595,-10.3507950933315,"Neuron","TEPN","DGGRC"
